"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Staff Dismiss","-12000"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 15668 ","-17000"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"90","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"90","Salary Expense","Cash Payment - Salary Expense","-33421"
"90","Retail","Revenue - Retail Sales Detroit - Mouthwash","8050"
"90","Retail","Revenue - Retail Sales Detroit - Body Wash  ","14750"
"90","Retail","Revenue - Retail Sales Detroit - Shampoo","10000"
"90","Retail","Revenue - Retail Sales San Francisco - Mouthwash","4650"
"90","Retail","Revenue - Retail Sales San Francisco - Body Wash  ","6500"
"90","Retail","Revenue - Retail Sales San Francisco - Shampoo","6000"
"90","Retail","Revenue - Retail Sales Los Angeles - Mouthwash","11040"
"90","Retail","Revenue - Retail Sales Los Angeles - Body Wash  ","17160"
"90","Retail","Revenue - Retail Sales Los Angeles - Shampoo","6300"
"90","Retail","Revenue - Retail Sales New York - Mouthwash","42840"
"90","Retail","Revenue - Retail Sales New York - Body Wash  ","81360"
"90","Retail","Revenue - Retail Sales New York - Shampoo","30360"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","4200"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash  ","8950"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","4600"
"90","Retail","Revenue - Retail Sales Chicago - Mouthwash","5800"
"90","Retail","Revenue - Retail Sales Chicago - Body Wash  ","18750"
"90","Retail","Revenue - Retail Sales Chicago - Shampoo","6250"
"90","Rental Expense","Cash Payment - Rental - Detroit","-1000"
"90","Rental Expense","Cash Payment - Rental - San Francisco","-2240"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","-1620"
"90","Rental Expense","Cash Payment - Rental - New York","-4020"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","-2440"
"90","Rental Expense","Cash Payment - Rental - Chicago","-1480"
"90","Rental Expense","Cash Payment - Rental - Miami","-1800"
"89","Human Resource Expense","Counselled","-2000"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-1000"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-998"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Mouthwash","-3500"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Body Wash  ","-3400"
"89","Marketing Expense","Cash Payment - Marketing - Los Angeles - Shampoo","-3500"
"89","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-5000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-5000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-5000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","-1000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash  ","-1000"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","-1000"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-2500"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-2500"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-2500"
"89","Salary Expense","Cash Payment - Salary Expense","-33739"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 339","-15000"
"89","Retail","Revenue - Retail Sales Detroit - Mouthwash","7550"
"89","Retail","Revenue - Retail Sales Detroit - Body Wash  ","14200"
"89","Retail","Revenue - Retail Sales Detroit - Shampoo","10300"
